date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,home_elo,away_elo,elo_difference,match_year,home_form_last5,home_goals_last5,home_conceded_last5,home_goal_difference_last5,home_win_percentage_last5,home_draw_percentage_last5,home_matches_last5,home_average_goals_last5,home_average_conceded_last5,away_form_last5,away_goals_last5,away_conceded_last5,away_goal_difference_last5,away_win_percentage_last5,away_draw_percentage_last5,away_matches_last5,away_average_goals_last5,away_average_conceded_last5,home_clean_sheets_last5,home_failed_to_score_last5,home_winning_streak,home_unbeaten_streak,home_days_since_last_match,home_avg_opponent_elo_last5,home_elo_trend,away_clean_sheets_last5,away_failed_to_score_last5,away_winning_streak,away_unbeaten_streak,away_days_since_last_match,away_avg_opponent_elo_last5,away_elo_trend,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_matches_played,h2h_home_win_percentage,h2h_home_goal_diff,home_advantage,is_world_cup,tournament_type,form_difference,goal_difference_difference,win_percentage_difference,draw_percentage_difference,avg_goals_difference,avg_conceded_difference,clean_sheets_difference,failed_to_score_difference,winning_streak_difference,unbeaten_streak_difference,days_since_last_match_difference,opponent_elo_difference,elo_trend_difference
2016-05-28,Myanmar,Malaysia,0.0,0.0,Friendly,Yangon,Myanmar,0,Draw,1049.0,1111.0,-62.0,2016,1.0,2.0,3.0,-1.0,0.0,0.5,2.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,1049.0,0.0,1.0,1.0,0.0,1.0,60.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,-1.0,0.0,-0.5,1.0,1.5,-1.0,-1.0,0.0,0.0,0.0,-62.0,0.0
2016-05-28,Rwanda,Senegal,0.0,2.0,Friendly,Kigali,Rwanda,0,Away Win,1321.0,1653.0,-332.0,2016,4.0,6.0,2.0,4.0,0.3333333333333333,0.3333333333333333,3.0,2.0,0.6666666666666666,6.0,4.0,1.0,3.0,1.0,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,60.0,1321.0,0.0,1.0,0.0,2.0,2.0,60.0,1653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,-2.0,1.0,-0.6666666666666667,0.3333333333333333,0.0,0.16666666666666663,0.0,1.0,-1.0,-1.0,0.0,-332.0,0.0
2016-05-28,Switzerland,Belgium,1.0,2.0,Friendly,Geneva,Switzerland,0,Away Win,1778.0,1920.0,-142.0,2016,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,64.0,1778.0,0.0,0.0,0.0,0.0,0.0,60.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,4.0,-142.0,0.0
2016-05-28,Mexico,Paraguay,1.0,0.0,Friendly,Atlanta,United States,1,Home Win,1921.0,1751.0,170.0,2016,6.0,5.0,0.0,5.0,1.0,0.0,2.0,2.5,0.0,2.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,60.0,1921.0,0.0,0.0,0.0,0.0,2.0,60.0,1751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,5.0,1.0,-1.0,0.5,-2.0,2.0,0.0,2.0,0.0,0.0,170.0,0.0
2016-05-29,Albania,Qatar,3.0,1.0,Friendly,Hartberg,Austria,1,Home Win,1611.0,1550.0,61.0,2016,3.0,3.0,2.0,1.0,0.5,0.0,2.0,1.5,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,61.0,1611.0,0.0,0.0,1.0,0.0,0.0,61.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,3.0,0.5,0.0,1.5,-1.0,1.0,-1.0,1.0,1.0,0.0,61.0,0.0
2016-05-29,Germany,Slovakia,1.0,3.0,Friendly,Augsburg,Germany,0,Away Win,2059.0,1739.0,320.0,2016,3.0,6.0,4.0,2.0,0.5,0.0,2.0,3.0,2.0,5.0,5.0,3.0,2.0,0.3333333333333333,0.6666666666666666,3.0,1.6666666666666667,1.0,0.0,0.0,1.0,1.0,61.0,2059.0,0.0,1.0,1.0,1.0,3.0,2.0,1474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,-2.0,0.0,0.16666666666666669,-0.6666666666666666,1.3333333333333333,1.0,-1.0,-1.0,0.0,-2.0,59.0,585.0,0.0
2016-05-29,Italy,Scotland,1.0,0.0,Friendly,Attard,Malta,1,Home Win,1866.0,1720.0,146.0,2016,1.0,2.0,5.0,-3.0,0.0,0.5,2.0,1.0,2.5,6.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,1866.0,0.0,2.0,0.0,2.0,2.0,61.0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-5.0,-5.0,-1.0,0.5,0.0,2.5,-2.0,0.0,-2.0,-2.0,0.0,146.0,0.0
2016-05-29,Kenya,Tanzania,1.0,1.0,Friendly,Nairobi,Kenya,0,Draw,1352.0,1336.0,16.0,2016,0.0,0.0,2.0,-2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,63.0,1223.0,0.0,0.0,0.0,0.0,0.0,30.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,33.0,-113.0,0.0
2016-05-29,Lithuania,Estonia,2.0,0.0,Baltic Cup,Klaipėda,Lithuania,0,Home Win,1425.0,1493.0,-68.0,2016,0.0,0.0,4.0,-4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,-1.0,0.0,0.6666666666666666,3.0,0.3333333333333333,0.6666666666666666,0.0,2.0,0.0,0.0,64.0,1425.0,0.0,1.0,2.0,0.0,0.0,61.0,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,99,-2.0,-3.0,0.0,-0.6666666666666666,-0.3333333333333333,1.3333333333333335,-1.0,0.0,0.0,0.0,3.0,-284.0,0.0
2016-05-29,Portugal,Norway,3.0,0.0,Friendly,Porto,Portugal,0,Home Win,1909.0,1633.0,276.0,2016,3.0,2.0,2.0,0.0,0.5,0.0,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.5,0.5,2.0,1.0,0.0,0.0,1.0,1.0,1.0,61.0,1909.0,0.0,2.0,1.0,1.0,2.0,61.0,1633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,-1.0,-2.0,0.0,-0.5,0.0,1.0,-2.0,0.0,0.0,-1.0,0.0,276.0,0.0
